PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P6290;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20241044;10;2024;7981632;1;9;1;50;;2;824.02659772;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981632;1;10;1;50;;2;824.02659772;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981633;1;1;1;50;;2;212.36343114;66;;1;1;6;DESCANSAR EN CASA;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981633;1;2;1;50;;2;212.36343114;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981634;1;1;1;50;;2;317.16281605;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981634;1;2;1;50;;2;317.16281605;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981634;1;3;1;50;;2;317.16281605;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981635;1;1;1;50;;2;212.36343114;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981635;1;2;1;50;;2;212.36343114;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981637;1;1;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981637;1;2;1;50;;2;894.57631692;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981638;1;1;1;50;;2;346.57505505;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981638;1;2;1;50;;2;346.57505505;66;;1;1;6;HACER DILIGENCIAS PARA EL HOGAR;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981638;1;3;1;50;;2;346.57505505;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981639;1;1;1;50;;2;203.73997273;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981639;1;2;1;50;;2;203.73997273;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981640;1;1;1;50;;1;236.56467512;66;1;;1;2;;;2;2;;;;2;1;;1;;;;;;;;;;;;;;;;1
20241044;10;2024;7981640;1;2;1;50;;1;236.56467512;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981641;1;1;1;50;;2;212.36343114;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981641;1;2;1;50;;2;212.36343114;66;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981642;1;1;1;50;;2;212.36343114;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981642;1;2;1;50;;2;212.36343114;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981643;1;1;1;50;;2;284.92445534;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981644;1;1;1;50;;2;894.57631692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981644;1;2;1;50;;2;894.57631692;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981645;1;1;1;50;;2;334.50142723;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981645;1;2;1;50;;2;334.50142723;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981646;1;1;1;50;;2;311.27459355;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981646;1;2;1;50;;2;311.27459355;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981647;1;1;1;50;;1;350.95535509;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
